OPDIV,FAIN,"Obligation Document
Numbers",Recipient Name,Recipient State,Country,"Action Date (Date
Terminated)",Total Amount Obligated,Total Amount Expended,"Total Payment Amount (As
of Termination)","Unliquidated Obligations
(As of Termination)",Award Title,Presidential Action,"For Cause (Put
X if applicable)",page
NIH,F30HD107932,FHD107932A,YALE UNIVERSITY,CONNECTICUT,UNITED STATES,3/10/2025,-,-,-,$1.74,"ENHANCING K-12 SCHOOL SAFETY DURING A
RESPIRATORY VIRAL PANDEMIC",Departmental Authority,-,24
NIH,F30HL162475,FHL162475A,"LOYOLA UNIVERSITY OF
CHICAGO MEDICAL CENTER",Illinois,UNITED STATES,3/9/2026,-,-,-,-,"Characterizing transient hematopoietic multipotent
and megakaryocyte progenitor cells during postnatal
development",Bilateral Termination,-,24
NIH,F30HL162528,FHL162528A,UNIVERSITY OF CHICAGO,Illinois,UNITED STATES,4/2/2026,-,-,-,-,"Uncovering the Mechanism of Potassium Channel
Folding and Assembly with Implications for the
Molecular Basis of Cardiac Arrhythmia",Bilateral Termination,-,24
NIH,F31AA031605,FAA031605A,"MEMPHIS STATE
UNIVERSITY",Tennessee,UNITED STATES,3/20/2025,-,-,-,-,"A Mixed Methods Study to Enhance Alcohol
Treatment Help-seeking and Engagement Among
Gender Diverse Adults",Departmental Authority,-,24
NIH,F31AA031618,FAA031618A,"UNIVERSITY OF NEBRASKA
LINCOLN",Nebraska,UNITED STATES,3/20/2025,-,-,-,-,"Post-Traumatic Stress and Alcohol Use as
Mechanisms Explaining IPV Among Bisexual
Women Who Disclose Sexual Violence to Partners:
Examining Minority Stress as a Moderator",Departmental Authority,-,24
NIH,F31AG076290,FAG076290A,VANDERBILT UNIVERSITY,TENNESSEE,UNITED STATES,5/28/2025,-,-,-,-,"Elucidating the role of ER remodeling in aging of C.
elegans",Departmental Authority,-,24
NIH,F31AG076375,FAG076375A,"VIRGINIA COMMONWEALTH
UNIVERSITY",VIRGINIA,UNITED STATES,5/28/2025,-,-,-,-,"Women Living with HIV: Cognitive Impact of
Estrogen Receptors, Inflammation, and Aging",Departmental Authority,-,24
NIH,F31AG077889,FAG077889A,"UNIVERSITY OF SOUTHERN
CALIFORNIA",California,UNITED STATES,3/19/2026,-,-,-,-,"Environmental Moderation of Genetic Influences on
Dementia Risk in Mexican Older Adults",Bilateral Termination,-,24
NIH,F31AG079597,FAG079597A,EMORY UNIVERSITY,Georgia,UNITED STATES,5/28/2025,-,-,-,-,"Astrocyte-specific in vivo molecular signatures of
APOE genetic risk in Alzheimer's disease",Departmental Authority,-,24
NIH,F31AG079613,FAG079613A,"COLUMBIA UNIVERSITY,
SCHOOL OF ARTS &
SCIENCES",New York,UNITED STATES,3/17/2025,-,-,-,-,"Inhibition of CD33-sialic acid binding in Late-Onset
Alzheimer's Disease",Bilateral Termination,-,24
NIH,F31AG081095,FAG081095A,"BAYLOR COLLEGE OF
MEDICINE",TEXAS,UNITED STATES,5/28/2025,-,-,-,-,"Investigating neuropeptide signals that slow cognitive
aging in C. elegans",Departmental Authority,-,24
NIH,F31AG082498,FAG082498A,"UNIVERSITY OF TEXAS AT
SAN ANTONIO",Texas,UNITED STATES,5/28/2025,-,-,-,-,"Modeling Alzheimer's Disease in Hispanic Latino
populations using human cortical organoids",Departmental Authority,-,24
NIH,F31AG082506,FAG082506A,"UNIVERSITY OF MICHIGAN
AT ANN ARBOR",MICHIGAN,UNITED STATES,5/28/2025,-,-,-,-,"Uncovering Mechanisms of Racial Inequalities in
ADRD: Psychosocial Risk and Resilience Factors for
White Matter Integrity",Departmental Authority,-,24
NIH,F31AG084149,FAG084149A,"UNIVERSITY OF TEXAS MED
BR GALVESTON",TEXAS,UNITED STATES,5/28/2025,-,-,-,-,"The Influence of Lifetime Occupational Experience
on Cognitive Trajectories Among Mexican Older
Adults",Departmental Authority,-,24
NIH,F31AG084195,FAG084195A,"UNIVERSITY OF ALABAMA
AT BIRMINGHAM",ALABAMA,UNITED STATES,5/28/2025,-,-,-,-,"Defining the Neuroprotective Mechanisms of
Neuritin-1 in Cognitive Resilience to Alzheimers
Disease",Departmental Authority,-,25
NIH,F31AG084238,FAG084238A,"UNIVERSITY OF SOUTHERN
CALIFORNIA",CALIFORNIA,UNITED STATES,5/28/2025,-,-,-,-,"Triggering the Selective Removal of Deleterious
mtDNA Mutations from Mammalian Cells",Departmental Authority,-,25
NIH,F31AG084260,FAG084260A,"UNIVERSITY OF
PITTSBURGH AT
PITTSBURGH",PENNSYLVANIA,UNITED STATES,5/28/2025,-,-,-,-,Astrocytic Na/H exchanger in AD astrogliosis,Departmental Authority,-,25
NIH,F31AG085980,FAG085980A,VANDERBILT UNIVERSITY,Tennessee,UNITED STATES,3/27/2026,-,-,-,-,"AQP4 Associations with Alzheimer's Disease: A
Multi-omics Approach",Bilateral Termination,-,25
NIH,F31AG086006,FAG086006A,EMORY UNIVERSITY,Georgia,UNITED STATES,3/27/2026,-,-,-,-,"Interneuron dysfunction and the emergence of tau
pathology in early Alzheimerâ€™s disease",Bilateral Termination,-,25
NIH,F31AG086073,FAG086073A,YALE UNIVERSITY,CONNECTICUT,UNITED STATES,5/28/2025,-,-,-,-,"Influences of Stigma and Social Support on
Cognitive Function Among Older Women Living with
Human Immunodeficiency Virus",Departmental Authority,-,25
NIH,F31AG087599,FAG087599A,"JOHNS HOPKINS
UNIVERSITY",MARYLAND,UNITED STATES,5/28/2025,-,-,-,-,"Investigating physiological pathways modulating tau
homeostasis: potential implications for Alzheimers
Disease and Related Dementia",Departmental Authority,-,25
NIH,F31AG090048,FAG090048A,"UNIVERSITY OF
PITTSBURGH AT
PITTSBURGH",PENNSYLVANIA,UNITED STATES,5/28/2025,-,-,-,-,"Multidimensional Features of Socioeconomic Status,
Brain Age, and the Potential Mediating Role of
Cardiometabolic Health Among Mid and Late Life
Adults",Departmental Authority,-,25
NIH,F31AG090051,FAG090051A,Trustees Of Boston University,Massachusetts,UNITED STATES,3/20/2026,-,-,-,-,"Functional epitranscriptomic profiling of m6A RNA
modifications in Alzheimer's Disease",Bilateral Termination,-,25
NIH,F31AG090063,FAG090063A,"UNIVERSITY OF
PENNSYLVANIA",PENNSYLVANIA,UNITED STATES,5/28/2025,-,-,-,-,"Combining Chemical Biology and Machine Learning
to Generate Reproducible Amyloid Fibrils",Departmental Authority,-,25
NIH,F31AG090069,FAG090069A,"UNIVERSITY OF SOUTHERN
CALIFORNIA",CALIFORNIA,UNITED STATES,5/28/2025,-,-,-,-,"Cell autonomous and cell non-autonomous roles for
mitochondrial proline catabolism in health and
longevity",Departmental Authority,-,25
NIH,F31AG090102,FAG090102A,STANFORD UNIVERSITY,CALIFORNIA,UNITED STATES,5/28/2025,-,-,-,-,Lifespace mobility and cognitive decline after stroke,Departmental Authority,-,25
NIH,F31AI167563,FAI167563A,UNIVERSITY OF VIRGINIA,VIRGINIA,UNITED STATES,6/4/2025,-,-,-,-,"Understanding the role of Ngo1049 in subverting
host-mediated metal starvation in Neisseria
gonorrhoeae",Departmental Authority,-,25
NIH,F31AI172316,FAI172316A,Columbia University,NEW YORK,UNITED STATES,3/12/2025,-,-,-,-,"A Novel Long Noncoding RNA Associated with
Systemic Lupus Erythematosus Pathogenesis",Departmental Authority,-,25
NIH,F31AI172377,FAI172377A,EMORY UNIVERSITY,GEORGIA,UNITED STATES,7/2/2025,-,-,-,-,"Differentiation of memory B cells requires EZH2 and
epigenetic remodeling",Bilateral Termination,-,25
NIH,F31AI174488,FAI174488A,VANDERBILT UNIVERSITY,TENNESSEE,UNITED STATES,8/4/2025,-,-,-,-,"The roles of fosfomycin resistant subpopulations of
Escherichia coli in urinary tract infection.",Bilateral Termination,-,25
NIH,F31AI176589,FAI176589A,"PRESIDENT AND FELLOWS
OF HARVARD COLLEGE",MASSACHUSETTS,UNITED STATES,6/23/2025,-,-,-,-,"The Dynamics of DNA in Salmonella Persisters in
Macrophages",Bilateral Termination,-,25
NIH,F31AI176652,FAI176652A,"TEXAS A&M UNIVERSITY
HEALTH SCIENCE CENTER",Texas,UNITED STATES,6/5/2025,-,-,-,-,"The Mycobacterium tuberculosis secreted protein
Rv1075c hijacks host histone methyltransferases to
promote infection",Departmental Authority,-,25
NIH,F31AI176717,FAI176717A,EMORY UNIVERSITY,Georgia,UNITED STATES,7/3/2025,-,-,-,-,"Evaluating the Influence of an Improved Piped Water
Network on Water Quality and Gut Microbiome
Composition Among Children in Mozambique",Bilateral Termination,-,25
NIH,F31AI176816,FAI176816A,UNIVERSITY OF VIRGINIA,VIRGINIA,UNITED STATES,5/16/2025,-,-,-,-,"Investigating a Role for Antigen Presentation by
Enteric Glial Cells in Experimental Autoimmune
Encephalomyelitis",Departmental Authority,-,25
NIH,F31AI176821,FAI176821B,VANDERBILT UNIVERSITY,Tennessee,UNITED STATES,5/19/2025,-,-,-,-,"Uncovering the role of cardiolipin in promoting
gasdermin D-mediated necroptosis and
hyperinflammation",Departmental Authority,-,25
NIH,F31AI176822,FAI176822A,PURDUE UNIVERSITY,INDIANA,UNITED STATES,5/16/2025,-,-,-,-,"MicroRNA-31 regulates neutrophil migration and
activation",Departmental Authority,-,25
NIH,F31AI178878,FAI178878A,"JOHNS HOPKINS
UNIVERSITY",MARYLAND,UNITED STATES,3/10/2025,-,-,-,-,"Epidemiological factors related to human monkeypox
virus (MPOX) in men who have sex with men (MSM)
in the United States",Departmental Authority,-,25
NIH,F31AI179064,FAI179064A,"UNIVERSITY OF NEW
MEXICO HEALTH SCIS CTR",NEW MEXICO,UNITED STATES,9/15/2025,-,-,-,-,"Investigation of novel chlamydia vaccines in male
infection models and sexual transmission challenges",Bilateral Termination,-,25
NIH,F31AI181059,FAI181059A,"VIRGINIA POLYTECHNIC
INST AND ST UNIV",VIRGINIA,UNITED STATES,4/17/2025,-,-,-,-,"Rift Valley fever virus NSs protein interacts with LC3
family members to inhibit antiviral autophagy",Departmental Authority,-,25
NIH,F31AI181454,FAI181454A,WASHINGTON UNIVERSITY,Missouri,UNITED STATES,5/19/2025,-,-,-,$953.00,"Novel Family of Dual Membrane-Spanning Anti-
sigma factors Regulate OMV Biogenesis in
Bacteroides thetaiotaomicron",Departmental Authority,-,25
NIH,F31AI183803,FAI183803A,Trustees Of Boston University,Massachusetts,UNITED STATES,5/19/2025,-,-,-,-,"An iPSC-derived human organoid based model of
intestinal filovirus infection",Departmental Authority,-,26
NIH,F31AI183827,FAI183827A,PRINCETON UNIVERSITY,New Jersey,UNITED STATES,5/19/2025,-,-,-,$631.00,"Delineating the impact of human karyopherins on
hepatitis B virus species tropism",Departmental Authority,-,26
NIH,F31AI183831,FAI183831A,WASHINGTON UNIVERSITY,Missouri,UNITED STATES,5/19/2025,-,-,-,-,"Discovering how Mycobacterium tuberculosis
promotes its survival in neutrophils",Departmental Authority,-,26
NIH,F31AI183996,FAI183996A,"NORTHWESTERN
UNIVERSITY",Illinois,UNITED STATES,6/5/2025,-,-,-,-,"Viral miRNA Essentiality in Primary Effusion
Lymphoma",Departmental Authority,-,26
NIH,F31AI184167,FAI184167A,EMORY UNIVERSITY,GEORGIA,UNITED STATES,5/16/2025,-,-,-,-,"Developing Virus like Particles for HIV-1 Cure
Strategy",Departmental Authority,-,26
NIH,F31AI186234,FAI186234A,"ALBERT EINSTEIN COLLEGE
OF MEDICINE",NEW YORK,UNITED STATES,4/17/2025,-,-,-,-,"The Influence of Aging on Plasma Cell Function and
Bone Marrow Competition",Departmental Authority,-,26
NIH,F31AI186463,FAI186463A,"HENRY FORD HEALTH +
MICHIGAN STATE
UNIVERSITY HEALTH
SCIENCES",MICHIGAN,UNITED STATES,4/17/2025,-,-,-,-,"Discovery of new phage defense systems in Vibrio
cholerae",Departmental Authority,-,26
NIH,F31AI186480,FAI186480A,EMORY UNIVERSITY,GEORGIA,UNITED STATES,4/17/2025,-,-,-,-,"From exposure to infection: defining factors
modulating the efficiency of influenza A virus
infection",Departmental Authority,-,26
NIH,F31AI186483,FAI186483A,VANDERBILT UNIVERSITY,TENNESSEE,UNITED STATES,4/17/2025,-,-,-,-,Elucidating RNA determinants for reovirus packaging,Departmental Authority,-,26
NIH,F31AI186487,FAI186487A,"TEXAS A&M UNIVERSITY
HEALTH SCIENCE CTR",TEXAS,UNITED STATES,4/17/2025,-,-,-,-,"Genetic Modeling the Integration of Biological Sex,
Immunity, and Metabolism",Departmental Authority,-,26
NIH,F31AI186499,FAI186499A,"UNIVERSITY OF TEXAS
HLTH SCIENCE CENTER",TEXAS,UNITED STATES,4/17/2025,-,-,-,-,"Characterization of a sensor domain for cytoplasmic
nucleic acid in the antiviral factor, SAMD9",Departmental Authority,-,26
NIH,F31AI186506,FAI186506A,"UNIVERSITY OF TEXAS SAN
ANTONIO",TEXAS,UNITED STATES,4/17/2025,-,-,-,-,"Repurposing Drugs to Discover Novel Antifungals for
Coccidioidomycosis",Departmental Authority,-,26
NIH,F31AI186614,FAI186614A,"GEORGE WASHINGTON
UNIVERSITY",DISTRICT OF COLUMBIA,UNITED STATES,4/17/2025,-,-,-,-,"PTPN1 and PTPN2 as targets to improve NK
function against HIV",Departmental Authority,-,26
NIH,F31AI188876,FAI188876A,UNIVERSITY OF FLORIDA,FLORIDA,UNITED STATES,5/9/2025,-,-,-,-,"Defining the function of EWSR1 in restricting
germinal center B cell responses and lymphoma",Departmental Authority,-,26
NIH,F31AI188916,FAI188916A,MAYO CLINIC,MINNESOTA,UNITED STATES,5/9/2025,-,-,-,-,"Sensitizing solid tumors to perforin-independent CAR
T-cell killing",Departmental Authority,-,26
NIH,F31AI189116,FAI189116A,"UNIVERSITY OF TEXAS
HLTH SCIENCE CENTER",TEXAS,UNITED STATES,4/2/2025,-,-,-,-,"Studies on the SARS-CoV-2 Main Protease
Dimerization Mechanism",Departmental Authority,-,26
NIH,F31AR082287,FAR082287A,"UNIVERSITY OF ILLINOIS AT
CHICAGO",Illinois,UNITED STATES,7/10/2025,-,-,-,-,MFAP5 and Skin Scar Formation,Bilateral Termination,-,26
NIH,F31AR084287,FAR084287A,MaineHealth,Maine,UNITED STATES,7/8/2025,-,-,-,-,"Investigating miRNA-Mediated Bone Loss from
Morphine Treatment",Bilateral Termination,-,26
NIH,F31CA268833,FCA268833A,"UNIVERSITY OF TEXAS AT
AUSTIN",Texas,UNITED STATES,2/25/2026,-,-,-,-,"Systems Approaches to Understanding the Impact of
Cell-Cell Fusion on Therapeutic Resistance",Bilateral Termination,-,26
NIH,F31CA271474,FCA271474A,"Regents of the University of
Michigan",Michigan,UNITED STATES,3/25/2025,-,-,-,-,"Low Dose Computed Tomography (LDCT) Eligibility
and Outcome differences between Sexual and
Gender Minorities and their Sexual and Gender
Majority Counterparts",Departmental Authority,-,26
NIH,F31CA275157,FCA275157A,"UNIVERSITY OF
PENNSYLVANIA",Pennsylvania,UNITED STATES,2/12/2026,-,-,-,-,"The Role of the Fructose-1,6-Bisphoshatase 2 and c-
Myc Interaction in Sarcoma Progression",Bilateral Termination,-,26
NIH,F31CA275272,FCA275272A,"THE REGENTS OF THE
UNIVERSITY OF COLORADO",Colorado,UNITED STATES,2/25/2026,-,-,-,-,"Human-centered design of clinical AI to support the
diagnosis of pediatric suprasellar tumors",Bilateral Termination,-,26
NIH,F31CA275336,FCA275336A,"UNIVERSITY OF NORTH
CAROLINA AT CHAPEL HILL",North Carolina,UNITED STATES,2/12/2026,-,-,-,-,"Evaluating the impact of obesity associated fatty acid
metabolic dysregulation on breast cancer sensitivity
to ferroptosis",Bilateral Termination,-,26
NIH,F31CA278581,FCA278581A,"SALK INSTITUTE FOR
BIOLOGICAL STUDIES, SAN
DIEGO, CALIFORNIA, THE",California,UNITED STATES,2/12/2026,-,-,-,-,"Mitochondrial Regulation of Interferon Response in
Melanoma",Bilateral Termination,-,26
NIH,F31CA278582,FCA278582A,"CEDARS-SINAI MEDICAL
CENTER",California,UNITED STATES,2/9/2026,-,-,-,-,"The non-canonical Collagen I-DDR1 signaling
regulating protein synthesis during metastasis",Bilateral Termination,-,26
NIH,F31CA278588,FCA278588A,Trustees Of Boston University,Massachusetts,UNITED STATES,3/27/2026,-,-,-,-,"Defining the tumor suppressive mechanism of the
kinase STK25",Bilateral Termination,-,26
NIH,F31CA281197,FCA281197A,"HARVARD MEDICAL
SCHOOL",MASSACHUSETTS,UNITED STATES,7/7/2025,-,-,-,-,"Structural and biochemical characterization of
VCPIP1 and VCP complex",Bilateral Termination,-,26
NIH,F31CA281258,FCA281258A,EMORY UNIVERSITY,Georgia,UNITED STATES,3/2/2026,-,-,-,-,"Mechanism underlying how host B cells empower
adoptively transferred Th17 cells with durable tumor
immunity",Bilateral Termination,-,26
NIH,F31CA287975,FCA287975A,"HARVARD UNIVERSITY
MEDICAL SCHOOL",Massachusetts,UNITED STATES,3/27/2026,-,-,-,-,"Defining the functional and spatial properties of
tumor-specific tumor-infiltrating CD8 T cells",Bilateral Termination,-,27
NIH,F31CA290773,FCA290773A,"UNIVERSITY OF TENNESSEE
CENTER FOR THE HEALTH
SCIENCES",Tennessee,UNITED STATES,2/23/2026,-,-,-,-,"Manipulation of the gut microbiome to delay breast
cancer onset and progression in the context of
weight loss and obesity",Bilateral Termination,-,27
NIH,F31CA294972,FCA294972A,EMORY UNIVERSITY,Georgia,UNITED STATES,3/27/2026,-,-,-,-,"Engineering CD4+ T cells to develop a novel
immunotherapy for pancreatic cancer",Bilateral Termination,-,27
NIH,F31DA053795,FDA053795A,UNIVERSITY OF MIAMI,Florida,UNITED STATES,5/27/2025,-,-,-,-,"Prenatal Opioid Exposure and Inflammation: The
Role of the Microbiome and Epigenome.",Departmental Authority,-,27
NIH,F31DA056217,FDA056217A,Trustees Of Boston University,Massachusetts,UNITED STATES,8/29/2025,-,-,-,-,"The role of Zhx2 in CYP2D regulation, oxycodone
metabolism, and opioid addiction model behaviors.",Bilateral Termination,-,27
NIH,F31DA057796,FDA057796A,"UNIVERSITY OF
WASHINGTON",Washington,UNITED STATES,1/8/2026,-,-,-,-,"Measurement and Modeling of Within-Person
Variability in Cannabis Protective Behavioral
Strategies: A Novel Approach Using Scale
Development, Daily Data, and Machine Learning
Methods",Bilateral Termination,-,27
NIH,F31DA057812,FDA057812A,"UNIVERSITY OF KENTUCKY,
RESEARCH FOUNDATION",Kentucky,UNITED STATES,3/4/2026,-,-,-,-,"Role of Dynamic Signaling of NRG3-ErbB4 in the
Prefrontal Cortex in Mediating Nicotine Withdrawal
Phenotypes",Bilateral Termination,-,27
NIH,F31DA058523,FDA058523A,MARQUETTE UNIVERSITY,Wisconsin,UNITED STATES,2/6/2026,-,-,-,-,"Dopaminergic regulation of aversion-motivated
behaviors",Bilateral Termination,-,27
NIH,F31DA058562,FDA058562A,"JOHNS HOPKINS
UNIVERSITY",Maryland,UNITED STATES,5/19/2025,-,-,-,-,"Endocannabinoid Modulation of the HIV-Induced
Microglial Inflammatory Response",Departmental Authority,-,27
NIH,F31DA059204,FDA059204A,UNIVERSITY OF MIAMI,FLORIDA,UNITED STATES,5/19/2025,-,-,-,-,"Role of the gut microbiome in prolonged pain
hypersensitivity following neonatal morphine
exposure",Departmental Authority,-,27
NIH,F31DA059237,FDA059237A,"PENNSYLVANIA STATE UNIV
HERSHEY MED CTR",PENNSYLVANIA,UNITED STATES,5/5/2025,-,-,-,-,"Evaluation of inflammation in the locus coeruleus
during physical withdrawal symptoms and cognitive
development in a rat model of neonatal opioid
withdrawal syndrome (NOWS)",Departmental Authority,-,27
NIH,F31DA059249,FDA059249A,"UNIVERSITY OF
WASHINGTON",Washington,UNITED STATES,3/6/2026,-,-,-,-,"The role of corticotropin-releasing factor in
modulating accumbal dopamine and producing
escalation of drug intake",Bilateral Termination,-,27
NIH,F31DA059253,FDA059253A,YALE UNIVERSITY,CONNECTICUT,UNITED STATES,5/5/2025,-,-,-,-,"Innovations in Modeling Existing and Emerging
Policies to Improve Warning Systems for Opioid
Overdoses",Departmental Authority,-,27
NIH,F31DA059983,FDA059983A,UNIVERSITY OF IOWA,Iowa,UNITED STATES,2/18/2026,-,-,-,-,"Competing basolateral amygdala inputs to the
infralimbic and prelimbic cortices in cocaine-seeking
behavior",Bilateral Termination,-,27
NIH,F31DA060032,FDA060032A,NEW YORK UNIVERSITY,NEW YORK,UNITED STATES,5/5/2025,-,-,-,-,"Understanding inequities in harm reduction services
provided to persons with opioid use disorder in
hospital settings: Harnessing the power of natural
language processing.",Departmental Authority,-,27
NIH,F31DA060036,FDA060036A,"VIRGINIA COMMONWEALTH
UNIVERSITY",VIRGINIA,UNITED STATES,5/5/2025,-,-,-,-,"Role of caregiver-adolescent interpersonal and
cultural factors on Latinx adolescent tobacco use: A
mixed-methods study",Departmental Authority,-,27
NIH,F31DA060039,FDA060039A,"PONCE SCHOOL OF
MEDICINE",PUERTO RICO,UNITED STATES,5/5/2025,-,-,-,-,"Influence of fear conditioning prior to cocaine self-
administration on cocaine seeking in adult rats:
assessing the role of the frontostriatal circuits in
trauma and cocaine use co-occurrence",Departmental Authority,-,27
NIH,F31DA060614,FDA060614A,"WAKE FOREST UNIVERSITY
HEALTH SCIENCES",North Carolina,UNITED STATES,1/23/2026,-,-,-,-,"The effect of ethanol self-administration on cocaine
reinforcement in male and female monkeys",Bilateral Termination,-,27
NIH,F31DA060615,FDA060615A,"NORTHWESTERN
UNIVERSITY",Illinois,UNITED STATES,5/15/2025,-,-,-,-,"The role of dopamine in OFC-DMS plasticity in
punishment-resistant reward-seeking behavior",Departmental Authority,-,27
NIH,F31DA060678,FDA060678A,"Regents of the University of
Michigan",Michigan,UNITED STATES,6/5/2025,-,-,-,-,"Optimizing chemical- and light-dependent protein
switches for controlling opioid peptide activity with
temporal control",Bilateral Termination,-,27
NIH,F31DA060688,FDA060688A,"UNIV OF NORTH CAROLINA
CHAPEL HILL",NORTH CAROLINA,UNITED STATES,5/5/2025,-,-,-,-,"Structural and functional responses of nucleus
accumbens microglia following long-access cocaine
self-administration",Departmental Authority,-,27
NIH,F31DA060690,FDA060690A,DARTMOUTH COLLEGE,New Hampshire,UNITED STATES,5/15/2025,-,-,-,-,"Evaluation of a Pharmacist-Integrated Model of
Opioid Use Disorder Treatment to Increase Naloxone
Co-Prescribing in Primary Care",Departmental Authority,-,27
NIH,F31DA061638,FDA061638A,"TRUSTEES OF INDIANA
UNIVERSITY",INDIANA,UNITED STATES,5/5/2025,-,-,-,-,"Evaluating the Association Between General Chronic
Pain Liability and Clinically Recognized Substance
Use",Departmental Authority,-,27
NIH,F31DA062446,FDA062446A,"Regents of the University of
Michigan",Michigan,UNITED STATES,5/27/2025,-,-,-,-,"The glucocorticoid receptor as a top-down
neuromolecular mechanism of inhibitory control",Departmental Authority,-,28
NIH,F31DC020372,FDC020372A,"UNIVERSITY OF TEXAS AT
SAN ANTONIO",Texas,UNITED STATES,1/22/2026,-,-,-,-,"Defining the Connectivity and Dynamics of
Peripheral Sour Taste Circuits",Bilateral Termination,-,28
NIH,F31DC020664,FDC020664A,New York University,New York,UNITED STATES,5/23/2025,-,-,-,-,"Neural and Behavioral Indices of Balance
Performance in Individuals with sensory loss",Departmental Authority,-,28
NIH,F31DC020864,FDC020864A,"PRESIDENT AND FELLOWS
OF HARVARD COLLEGE",MASSACHUSETTS,UNITED STATES,5/6/2025,-,-,-,-,"The Role of the Motor System in Speech and
Language in Autism",Bilateral Termination,-,28
NIH,F31DC021084,FDC021084A,"UNIVERSITY OF LOUISVILLE
RESEARCH FOUNDATION",Kentucky,UNITED STATES,5/23/2025,-,-,-,$420.26,"Anatomy and Function of a Fungiform Specific
Mechanoreceptor",Departmental Authority,-,28
NIH,F31DC021111,FDC021111A,"NORTHEASTERN
UNIVERSITY",Massachusetts,UNITED STATES,5/23/2025,-,-,-,-,"Vocabulary Encoding and Retention in Autism via
Social Cognition (VERAS)",Departmental Authority,-,28
NIH,F31DC021344,FDC021344A,"Regents of the University of
Michigan",Michigan,UNITED STATES,5/19/2025,-,-,-,-,"Mechanisms Shaping Temporal Integration in the
Inferior Colliculus",Bilateral Termination,-,28
NIH,F31DC021353,FDC021353A,"UNIVERSITY OF
PITTSBURGH AT
PITTSBURGH",PENNSYLVANIA,UNITED STATES,5/23/2025,-,-,-,-,"Investigating the effects of olfactory critical period
odorant exposure on the trace amine-associated
receptor4 olfactory circuit",Departmental Authority,-,28
NIH,F31DC021377,FDC021377A,DREXEL UNIVERSITY,Pennsylvania,UNITED STATES,5/23/2025,-,-,-,-,"Characterizing the Sensorimotor Transformation in
Drosophila olfactory system",Departmental Authority,-,28
NIH,F31DC021384,FDC021384A,"UNIVERSITY OF TEXAS AT
DALLAS",Texas,UNITED STATES,1/27/2026,-,-,-,-,"Rhythmic Grouping in Developmental Language
Disorder",Bilateral Termination,-,28
NIH,F31DC021859,FDC021859A,"MEDICAL UNIVERSITY OF
SOUTH CAROLINA THE",South Carolina,UNITED STATES,5/23/2025,-,-,-,-,"Mitochondrial dysfunction as a promoter of stria
vascularis degeneration and inflammation in
metabolic presbyacusis",Departmental Authority,-,28
NIH,F31DC021883,FDC021883A,UNIVERSITY OF CHICAGO,ILLINOIS,UNITED STATES,5/23/2025,-,-,-,-,"Spatiotemporal models of neural coding in the
vestibular periphery",Departmental Authority,-,28
NIH,F31DC021889,FDC021889A,"UNIVERSITY OF
ROCHESTER",New York,UNITED STATES,5/23/2025,-,-,-,-,"The Effect of Cochlear Synaptopathy on Auditory
Nerve Responses in the Budgerigar",Departmental Authority,-,28
NIH,F31DC022138,FDC022138A,"HARVARD UNIVERSITY
MEDICAL SCHOOL",Massachusetts,UNITED STATES,1/23/2026,-,-,-,-,"Cellular and functional heterogeneity of
interhemispheric connections in the anterior olfactory
nucleus",Bilateral Termination,-,28
NIH,F31DC022173,FDC022173A,VANDERBILT UNIVERSITY,Tennessee,UNITED STATES,2/20/2026,-,-,-,-,"Evaluating Cascading Effects of Caregiver Stress on
Later Language Outcomes of Infants",Bilateral Termination,-,28
NIH,F31DC022184,FDC022184A,Trustees Of Boston University,Massachusetts,UNITED STATES,12/17/2025,-,-,-,-,"Predicting stuttering subtypes from functional
connectivity using machine learning",Bilateral Termination,-,28
NIH,F31DC022482,FDC022482A,VANDERBILT UNIVERSITY,Tennessee,UNITED STATES,3/19/2026,-,-,-,-,"Functional characterizations of the genetic etiology of
stuttering",Bilateral Termination,-,28
NIH,F31DC023443,FDC023443A,"HARVARD UNIVERSITY
MEDICAL SCHOOL",Massachusetts,UNITED STATES,2/5/2026,-,-,-,-,"The Population and Patterning of the Cochlea by
Glial Precursor Subtypes",Bilateral Termination,-,28
NIH,F31DE031154,FDE031154A,"CALIFORNIA INSTITUTE OF
TECHNOLOGY",California,UNITED STATES,3/18/2026,-,-,-,-,"Molecular mechanisms driving cessation of neural
crest migration and aggregation into cranial ganglia",Bilateral Termination,-,28
NIH,F31DE031968,FDE031968A,"VIRGINIA COMMONWEALTH
UNIVERSITY",Virginia,UNITED STATES,8/21/2025,-,-,-,-,"The Role of Histone Deacetylase 6 in Oral Bacteria-
Mediated Periodontal Inflammation",Bilateral Termination,-,28
NIH,F31DE032562,FDE032562A,WASHINGTON UNIVERSITY,Missouri,UNITED STATES,5/15/2025,-,-,-,-,"The Determinants of CD8 T cell Dysfunction in Oral
Cavity Squamous Cell Carcinoma",Departmental Authority,-,28
NIH,F31DE032593,FDE032593A,BROWN UNIVERSITY,Rhode Island,UNITED STATES,3/4/2026,-,-,-,-,PD-1 Mediated Regulation of Salivary Gland Integrity,Bilateral Termination,-,28
NIH,F31DE032900,FDE032900A,"JOHNS HOPKINS
UNIVERSITY",Maryland,UNITED STATES,2/6/2026,-,-,-,-,"Characterization and Optimization of a Nanofiber-
Hydrogel Composite for Tissue Remodeling",Bilateral Termination,-,28
